------------------------------------------------------------------------------------
Process Automation : Mon_Nov_20_15.57.29_2023
------------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': '0.05859375 MB'}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': '0.05859375 MB'}
{'name': 'Registry', 'pid': 232, 'username': None, 'vms': '8.80859375 MB'}
{'name': 'chrome.exe', 'pid': 408, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '6.38671875 MB'}
{'name': 'cmd.exe', 'pid': 412, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '2.27734375 MB'}
{'name': 'Code.exe', 'pid': 444, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '143.75 MB'}
{'name': 'smss.exe', 'pid': 772, 'username': None, 'vms': '1.078125 MB'}
{'name': 'svchost.exe', 'pid': 904, 'username': None, 'vms': '7.8359375 MB'}
{'name': 'csrss.exe', 'pid': 1028, 'username': None, 'vms': '2.5390625 MB'}
{'name': 'wininit.exe', 'pid': 1168, 'username': None, 'vms': '1.5234375 MB'}
{'name': 'csrss.exe', 'pid': 1176, 'username': None, 'vms': '3.1875 MB'}
{'name': 'services.exe', 'pid': 1236, 'username': None, 'vms': '6.90234375 MB'}
{'name': 'svchost.exe', 'pid': 1252, 'username': None, 'vms': '2.71875 MB'}
{'name': 'lsass.exe', 'pid': 1260, 'username': None, 'vms': '9.2734375 MB'}
{'name': 'svchost.exe', 'pid': 1388, 'username': None, 'vms': '11.26171875 MB'}
{'name': 'Code.exe', 'pid': 1400, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '33.53515625 MB'}
{'name': 'fontdrvhost.exe', 'pid': 1416, 'username': None, 'vms': '3.85546875 MB'}
{'name': 'WUDFHost.exe', 'pid': 1424, 'username': None, 'vms': '4.1171875 MB'}
{'name': 'winlogon.exe', 'pid': 1540, 'username': None, 'vms': '2.32421875 MB'}
{'name': 'svchost.exe', 'pid': 1576, 'username': None, 'vms': '8.265625 MB'}
{'name': 'svchost.exe', 'pid': 1608, 'username': None, 'vms': '3.140625 MB'}
{'name': 'fontdrvhost.exe', 'pid': 1648, 'username': None, 'vms': '7.87109375 MB'}
{'name': 'svchost.exe', 'pid': 1660, 'username': None, 'vms': '1.52734375 MB'}
{'name': 'svchost.exe', 'pid': 1664, 'username': None, 'vms': '2.671875 MB'}
{'name': 'svchost.exe', 'pid': 1716, 'username': None, 'vms': '3.40234375 MB'}
{'name': 'dwm.exe', 'pid': 1764, 'username': None, 'vms': '305.98046875 MB'}
{'name': 'Code.exe', 'pid': 1880, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '167.34765625 MB'}
{'name': 'svchost.exe', 'pid': 1888, 'username': None, 'vms': '2.03515625 MB'}
{'name': 'svchost.exe', 'pid': 1900, 'username': None, 'vms': '3.265625 MB'}
{'name': 'svchost.exe', 'pid': 1912, 'username': None, 'vms': '3.43359375 MB'}
{'name': 'WUDFHost.exe', 'pid': 2000, 'username': None, 'vms': '6.90234375 MB'}
{'name': 'svchost.exe', 'pid': 2008, 'username': None, 'vms': '3.21484375 MB'}
{'name': 'svchost.exe', 'pid': 2016, 'username': None, 'vms': '2.06640625 MB'}
{'name': 'svchost.exe', 'pid': 2064, 'username': None, 'vms': '7.7265625 MB'}
{'name': 'IntelCpHDCPSvc.exe', 'pid': 2104, 'username': None, 'vms': '1.44140625 MB'}
{'name': 'svchost.exe', 'pid': 2212, 'username': None, 'vms': '2.33203125 MB'}
{'name': 'svchost.exe', 'pid': 2224, 'username': None, 'vms': '16.66796875 MB'}
{'name': 'svchost.exe', 'pid': 2268, 'username': None, 'vms': '6.46484375 MB'}
{'name': 'SearchProtocolHost.exe', 'pid': 2380, 'username': None, 'vms': '2.76171875 MB'}
{'name': 'Code.exe', 'pid': 2420, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '65.46875 MB'}
{'name': 'svchost.exe', 'pid': 2428, 'username': None, 'vms': '2.55859375 MB'}
{'name': 'IntelCpHeciSvc.exe', 'pid': 2432, 'username': None, 'vms': '1.58984375 MB'}
{'name': 'svchost.exe', 'pid': 2488, 'username': None, 'vms': '2.91796875 MB'}
{'name': 'svchost.exe', 'pid': 2544, 'username': None, 'vms': '1.74609375 MB'}
{'name': 'RuntimeBroker.exe', 'pid': 2700, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '2.7890625 MB'}
{'name': 'svchost.exe', 'pid': 2712, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '10.625 MB'}
{'name': 'svchost.exe', 'pid': 2752, 'username': None, 'vms': '3.26171875 MB'}
{'name': 'msedge.exe', 'pid': 2804, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '20.4375 MB'}
{'name': 'svchost.exe', 'pid': 2812, 'username': None, 'vms': '3.40234375 MB'}
{'name': 'svchost.exe', 'pid': 2828, 'username': None, 'vms': '2.8984375 MB'}
{'name': 'NVDisplay.Container.exe', 'pid': 2836, 'username': None, 'vms': '7.1015625 MB'}
{'name': 'smartscreen.exe', 'pid': 2888, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '2.55078125 MB'}
{'name': 'chrome.exe', 'pid': 2968, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '17.3515625 MB'}
{'name': 'rundll32.exe', 'pid': 2972, 'username': None, 'vms': '1.53515625 MB'}
{'name': 'svchost.exe', 'pid': 2984, 'username': None, 'vms': '4.296875 MB'}
{'name': 'svchost.exe', 'pid': 3040, 'username': None, 'vms': '1.796875 MB'}
{'name': 'svchost.exe', 'pid': 3048, 'username': None, 'vms': '2.046875 MB'}
{'name': 'svchost.exe', 'pid': 3192, 'username': None, 'vms': '2.3984375 MB'}
{'name': 'svchost.exe', 'pid': 3200, 'username': None, 'vms': '1.1953125 MB'}
{'name': 'svchost.exe', 'pid': 3212, 'username': None, 'vms': '1.890625 MB'}
{'name': 'MemCompression', 'pid': 3332, 'username': None, 'vms': '1.5078125 MB'}
{'name': 'svchost.exe', 'pid': 3384, 'username': None, 'vms': '1.84765625 MB'}
{'name': 'RuntimeBroker.exe', 'pid': 3396, 'username': 'LAPTOP-JMO86757\\NARENDRA', 'vms': '6.2109375 MB'}
